id,title,alt_titles,author,author_alt_forms,edition_note,isbn
59,Homo Deus,,Yuval Noah Harari,"Harari, Yuval Noah",,9780062464316
60,Atomic Habits,,James Clear,"Clear, James",,9780735211292
61,The Subtle Art of Not Giving a F*ck,,Mark Manson,"Manson, Mark",,9780062457714
62,"Thinking, Fast and Slow",,Daniel Kahneman,"Kahneman, Daniel",,9780374533557
63,Outliers,,Malcolm Gladwell,"Gladwell, Malcolm",,9780316017930
64,Blink,,Malcolm Gladwell,"Gladwell, Malcolm",,9780316010665
65,The Tipping Point,,Malcolm Gladwell,"Gladwell, Malcolm",,9780316346627
66,Freakonomics,,Steven D. Levitt,"Levitt, Steven D.; S.D. Levitt",,9780061234002
67,The Book Thief,,Markus Zusak,"Zusak, Markus",,9780375842207
68,All the Light We Cannot See,,Anthony Doerr,"Doerr, Anthony",,9781501173219
69,The Road,,Cormac McCarthy,"McCarthy, Cormac",,9780307387899
70,No Country for Old Men,,Cormac McCarthy,"McCarthy, Cormac",,9780375706677
71,Beloved,,Toni Morrison,"Morrison, Toni",,9781400033416
72,The Bluest Eye,,Toni Morrison,"Morrison, Toni",,9780307278449
73,Slaughterhouse-Five,,Kurt Vonnegut,"Vonnegut, Kurt",,9780385333849
74,Cat's Cradle,,Kurt Vonnegut,"Vonnegut, Kurt",,9780385333481
75,Norwegian Wood,,Haruki Murakami,"Murakami, Haruki",,9780375704024
76,Kafka on the Shore,,Haruki Murakami,"Murakami, Haruki",,9781400079278
77,The Handmaid's Tale,,Margaret Atwood,"Atwood, Margaret",,9780385490818
78,Oryx and Crake,,Margaret Atwood,"Atwood, Margaret",,9780385721677
79,American Gods,,Neil Gaiman,"Gaiman, Neil",,9780062572110
80,Good Omens,,Neil Gaiman,"Gaiman, Neil; Terry Pratchett",,9780060853976
81,The Name of the Wind,,Patrick Rothfuss,"Rothfuss, Patrick",,9780756404741
82,Mistborn,,Brandon Sanderson,"Sanderson, Brandon",,9780765350381
83,The Way of Kings,,Brandon Sanderson,"Sanderson, Brandon",,9780765326355
84,Ender's Game,,Orson Scott Card,"Card, Orson Scott",,9780812550702
85,Foundation,,Isaac Asimov,"Asimov, Isaac",,9780553293357
86,"I, Robot",,Isaac Asimov,"Asimov, Isaac",,9780553294385
87,The Martian,,Andy Weir,"Weir, Andy",,9780553418026
88,Ready Player One,,Ernest Cline,"Cline, Ernest",,9780307887436
89,The Girl with All the Gifts,,M.R. Carey,"Carey, M. R.",,9780316278157
90,World War Z,,Max Brooks,"Brooks, Max",,9780307346612
91,Circe,,Madeline Miller,"Miller, Madeline",,9780316556347
92,The Song of Achilles,,Madeline Miller,"Miller, Madeline",,9780062060624
93,Where the Wild Things Are,,Maurice Sendak,"Sendak, Maurice",,9780064431781
94,Charlotte's Web,,E.B. White,"White, E. B.",,9780064400558
95,Matilda,,Roald Dahl,"Dahl, Roald",,9780142410370
96,Charlie and the Chocolate Factory,,Roald Dahl,"Dahl, Roald",,9780142410318
97,The Chronicles of Narnia,,C.S. Lewis,"Lewis, C. S.",,9780066238500
98,"The Lion, the Witch and the Wardrobe",,C.S. Lewis,"Lewis, C. S.",,9780064404990
99,Little Women,,Louisa May Alcott,"Alcott, Louisa May",,9780147514011
100,Jane Eyre,,Charlotte Bronte,"Bronte, Charlotte; Charlotte Brontë",,9780141441146
101,Wuthering Heights,,Emily Bronte,"Bronte, Emily; Emily Brontë",,9780141439556
102,Moby-Dick,,Herman Melville,"Melville, Herman",,9781503280786
103,War and Peace,,Leo Tolstoy,"Tolstoy, Leo; L.N. Tolstoy",,9781400079988
104,Anna Karenina,,Leo Tolstoy,"Tolstoy, Leo; L.N. Tolstoy",,9780143035008
105,The Odyssey,,Homer,Homer,,9780140268867
106,The Old Man and the Sea,,Ernest Hemingway,"Hemingway, Ernest",,9780684801223
107,A Farewell to Arms,,Ernest Hemingway,"Hemingway, Ernest",,9780684801469
108,The Sun Also Rises,,Ernest Hemingway,"Hemingway, Ernest",,9780743297332
109,Frankenstein,,Mary Shelley,"Shelley, Mary",,9780486282114
110,Dracula,,Bram Stoker,"Stoker, Bram",,9780486411095
111,The Picture of Dorian Gray,,Oscar Wilde,"Wilde, Oscar",,9780141439570
112,Slaughterhouse Five,,Kurt Vonnegut,"Vonnegut, Kurt",,9780440180296
113,Educated: A Memoir,,Tara Westover,"Westover, Tara",,9780399590511
114,The Immortal Life of Henrietta Lacks,,Rebecca Skloot,"Skloot, Rebecca",,9781400052189
115,Into the Wild,,Jon Krakauer,"Krakauer, Jon",,9780385486804
116,Into Thin Air,,Jon Krakauer,"Krakauer, Jon",,9780385494786
117,Born a Crime,,Trevor Noah,"Noah, Trevor",,9780399588174
118,The Glass Castle,,Jeannette Walls,"Walls, Jeannette",,9780743247542
119,Unbroken,,Laura Hillenbrand,"Hillenbrand, Laura",,9780812974492
120,Seabiscuit,,Laura Hillenbrand,"Hillenbrand, Laura",,9780449005615
121,The Power of Habit,,Charles Duhigg,"Duhigg, Charles",,9780812981605
122,Man's Search for Meaning,,Viktor E. Frankl,"Frankl, Viktor E.; V.E. Frankl",,9780807014295
123,The Eye of the World,,Robert Jordan,"Jordan, Robert",Wheel of Time Book 1,9780812511819
124,The Great Hunt,,Robert Jordan,"Jordan, Robert",Wheel of Time Book 2,9780812513714
125,The Dragon Reborn,,Robert Jordan,"Jordan, Robert",Wheel of Time Book 3,9780812513738
126,The Shadow Rising,,Robert Jordan,"Jordan, Robert",Wheel of Time Book 4,9780812513790
127,The Fires of Heaven,,Robert Jordan,"Jordan, Robert",Wheel of Time Book 5,9780812550315
128,Lord of Chaos,,Robert Jordan,"Jordan, Robert",Wheel of Time Book 6,9780812550322
129,A Crown of Swords,,Robert Jordan,"Jordan, Robert",Wheel of Time Book 7,9780812550339
130,The Gathering Storm,,Robert Jordan; Brandon Sanderson,"Jordan, Robert; Sanderson, Brandon","Wheel of Time Book 12, co-written",9780765325940
131,The Wheel of Time,Wheel of Time Omnibus,Robert Jordan,"Jordan, Robert","Full-series omnibus, distinct from any single volume",9780765357490
132,The Blade Itself,,Joe Abercrombie,"Abercrombie, Joe",First Law Book 1,9780575079793
133,Before They Are Hanged,,Joe Abercrombie,"Abercrombie, Joe",First Law Book 2,9780575077893
134,Last Argument of Kings,,Joe Abercrombie,"Abercrombie, Joe",First Law Book 3,9780575077787
135,The First Law Trilogy,First Law Omnibus,Joe Abercrombie,"Abercrombie, Joe",3-in-1 omnibus edition,9780575095911
136,The Well of Ascension,,Brandon Sanderson,"Sanderson, Brandon",Mistborn Book 2,9780765356146
137,The Hero of Ages,,Brandon Sanderson,"Sanderson, Brandon",Mistborn Book 3,9780765356153
138,Mistborn Trilogy,Mistborn Omnibus,Brandon Sanderson,"Sanderson, Brandon",3-in-1 omnibus edition,9780765377135
139,Words of Radiance,,Brandon Sanderson,"Sanderson, Brandon",Stormlight Archive Book 2,9780765326362
140,Oathbringer,,Brandon Sanderson,"Sanderson, Brandon",Stormlight Archive Book 3,9780765326379
141,1Q84,,Haruki Murakami,"Murakami, Haruki","Boxed 3-book set, single-volume US edition",9780307593313
142,The Wind-Up Bird Chronicle,,Haruki Murakami,"Murakami, Haruki",,9780679775430
143,Doctor Sleep,,Stephen King,"King, Stephen",Sequel to The Shining,9781476727653
144,Carrie,,Stephen King,"King, Stephen",,9780307743664
145,Pet Sematary,,Stephen King,"King, Stephen",,9781501156751
146,The Gunslinger,,Stephen King,"King, Stephen",Dark Tower Book 1,9781501143519
147,Never Let Me Go,,Kazuo Ishiguro,"Ishiguro, Kazuo",,9781400078776
148,The Remains of the Day,,Kazuo Ishiguro,"Ishiguro, Kazuo",,9780679731726
149,Klara and the Sun,,Kazuo Ishiguro,"Ishiguro, Kazuo",,9780571364886
150,The Midnight Library,,Matt Haig,"Haig, Matt",,9780525559474
151,Project Hail Mary,,Andy Weir,"Weir, Andy",,9780593135204
152,Verity,,Colleen Hoover,"Hoover, Colleen",,9781791392796
153,It Ends with Us,,Colleen Hoover,"Hoover, Colleen",,9781501110368
154,The Housemaid,,Freida McFadden,"McFadden, Freida",,9781839721285
155,The Passenger,,Cormac McCarthy,"McCarthy, Cormac",2022 novel,9780307379441
156,The Passenger,,Lisa Lutz,"Lutz, Lisa",2016 thriller,9781501121779
157,Life,,Keith Richards,"Richards, Keith",Memoir,9780316034418
158,Northern Lights,The Golden Compass,Philip Pullman,"Pullman, Philip","His Dark Materials Book 1, UK edition",9780440418320
159,The Golden Compass,Northern Lights,Philip Pullman,"Pullman, Philip","His Dark Materials Book 1, US edition",9780679879244
160,Harry Potter and the Chamber of Secrets,,J.K. Rowling,"Rowling, J. K.",,9780439064873
161,Harry Potter and the Prisoner of Azkaban,,J.K. Rowling,"Rowling, J. K.",,9780439136365
162,Harry Potter and the Goblet of Fire,,J.K. Rowling,"Rowling, J. K.",,9780439139595
163,Harry Potter and the Order of the Phoenix,,J.K. Rowling,"Rowling, J. K.",,9780439358071
164,Harry Potter and the Half-Blood Prince,,J.K. Rowling,"Rowling, J. K.",,9780439785969
165,Harry Potter and the Deathly Hallows,,J.K. Rowling,"Rowling, J. K.",,9780545010221
166,Les Miserables,Les Misérables,Victor Hugo,"Hugo, Victor",,9780451419439
167,The Count of Monte Cristo,,Alexandre Dumas,"Dumas, Alexandre",,9780140449266
168,Don Quixote,,Miguel de Cervantes,"Cervantes, Miguel de; de Cervantes, Miguel",,9780060934347
169,Great Expectations,,Charles Dickens,"Dickens, Charles",,9780141439563
170,A Tale of Two Cities,,Charles Dickens,"Dickens, Charles",,9780141439600
171,Oliver Twist,,Charles Dickens,"Dickens, Charles",,9780141439747
172,Quiet,,Susan Cain,"Cain, Susan",,9780307352156
173,Grit,,Angela Duckworth,"Duckworth, Angela",,9781501111105
174,The 7 Habits of Highly Effective People,,Stephen R. Covey,"Covey, Stephen R.; S.R. Covey",,9781982137274
175,Rich Dad Poor Dad,,Robert Kiyosaki,"Kiyosaki, Robert",,9781612680194
176,The Body Keeps the Score,,Bessel van der Kolk,"van der Kolk, Bessel",,9780143127741
177,Dark Matter,,Blake Crouch,"Crouch, Blake",2016 sci-fi thriller,9781101904220
178,Recursion,,Blake Crouch,"Crouch, Blake",,9781524759780
179,The Martian Chronicles,,Ray Bradbury,"Bradbury, Ray",,9781451678192
180,Slaughterhouse-Five,,Kurt Vonnegut,"Vonnegut, Kurt",50th anniversary edition,9780593133509
181,Where the Forest Meets the Stars,,Glendy Vanderah,"Vanderah, Glendy",,9781728202903
182,The Vanishing Half,,Brit Bennett,"Bennett, Brit",,9780525536291
183,Normal People,,Sally Rooney,"Rooney, Sally",,9781984822178
184,Where the Crawdads Sing,,Delia Owens,"Owens, Delia",Movie tie-in edition,9780593421337
185,Beach Read,,Emily Henry,"Henry, Emily",,9781984806734
186,The Seven Husbands of Evelyn Hugo,,Taylor Jenkins Reid,"Reid, Taylor Jenkins; Jenkins Reid, Taylor",,9781501161933
187,Daisy Jones & The Six,,Taylor Jenkins Reid,"Reid, Taylor Jenkins; Jenkins Reid, Taylor",,9781524798628
188,Murder on the Orient Express,,Agatha Christie,"Christie, Agatha",,9780062693662
189,The Murder of Roger Ackroyd,,Agatha Christie,"Christie, Agatha",,9780062073563
190,Ricochet,,Sandra Brown,"Brown, Sandra",,9781538719929
191,Outfox,,Sandra Brown,"Brown, Sandra",,9781538719912
192,On Mystic Lake,,Kristin Hannah,"Hannah, Kristin",,9780345469019
193,America's First Daughter,,Stephanie Dray; Laura Kamoie,"Dray, Stephanie; Kamoie, Laura",Co-authored,9780062347268
194,Everyone but Myself,,Julie Chavez,"Chavez, Julie",Memoir,9781538741449
195,The Porcelain Maker,,Sarah Freethy,"Freethy, Sarah",,9780008613555
196,Gilded,,Marissa Meyer,"Meyer, Marissa",,9781250758912
197,The Last Green Valley,,Mark Sullivan,"Sullivan, Mark",,9781662601217
198,The Giver of Stars,,Jojo Moyes,"Moyes, Jojo",,9780399562488
199,A Column of Fire,,Ken Follett,"Follett, Ken",Kingsbridge Book 3,9780525954988
200,The Tommyknockers,,Stephen King,"King, Stephen",,9781501192268
201,Insomnia,,Stephen King,"King, Stephen",,9781501192299
202,The Institute,,Stephen King,"King, Stephen",,9781982110581
203,Exhalation,,Ted Chiang,"Chiang, Ted",Short story collection,9781101947883
204,Bewilderment,,Richard Powers,"Powers, Richard",,9780393881141
205,Here I Am,,Jonathan Safran Foer,"Safran Foer, Jonathan; Foer, Jonathan Safran",,9780374280024
206,Thinking Out Loud,,Anna Quindlen,"Quindlen, Anna",Essay collection,9780449910493
207,How It All Began,,Penelope Lively,"Lively, Penelope",,9780670022445
208,When: The Scientific Secrets of Perfect Timing,When,Daniel H. Pink,"Pink, Daniel H.; Pink, Daniel",,9780735210622
209,The Return,,Roberto Bolano,"Bolano, Roberto; Bolaño, Roberto",Short story collection,9780811218750
210,On the Road,,Jack Kerouac,"Kerouac, Jack",,9780140283297
211,Will,,Will Smith; Mark Manson,"Smith, Will; Manson, Mark",Co-written memoir,9780593139134
212,Find Me,,Andre Aciman,"Aciman, Andre; Aciman, André",Call Me By Your Name sequel,9780374155718
213,Wild,,Cheryl Strayed,"Strayed, Cheryl",Memoir,9780307476074
214,"Love, etc.",,Julian Barnes,"Barnes, Julian",,9780679751516
215,The Ruin of Kings,,Jenn Lyons,"Lyons, Jenn",A Chorus of Dragons Book 1,9781250175601
216,The Name of All Things,,Jenn Lyons,"Lyons, Jenn",A Chorus of Dragons Book 2,9781250186478
217,The Memory of Souls,,Jenn Lyons,"Lyons, Jenn",A Chorus of Dragons Book 3,9781250186508
218,The House of Always,,Jenn Lyons,"Lyons, Jenn",A Chorus of Dragons Book 4,9781250186522
219,The Discord of Gods,,Jenn Lyons,"Lyons, Jenn",A Chorus of Dragons Book 5,9781250186546
220,The Silmarillion,,J.R.R. Tolkien,"Tolkien, J. R. R.",,9780618391110
221,The Dark Powers of Tolkien,,David Day,"Day, David",Companion/reference volume,9781787392514
